COD,Date,Precip,Tavg,Tmax,Tmin,Ws,Sd,Rh
430608,2015-02-09,1,-0.6,3.3,-2.6,1.6,5.5,76
430608,2015-02-10,0.2,-2.5,2.1,-9.4,1.8,2.7,74
430608,2015-02-11,0,-4.4,1.6,-12,2.2,8.1,63
430608,2015-02-12,0,-0.2,4.7,-2.6,1.8,3.9,67
430608,2015-02-13,0,-2.5,7.8,-8.5,0.5,7.9,78
430608,2015-02-14,0,-1,7.7,-7.8,0.7,7.7,82
430608,2015-02-15,0.1,0.6,2,-1.6,1.4,0,98
430608,2015-02-16,0,0.2,1.7,-0.3,3.4,0,83
430608,2015-02-17,0,-3.1,-0.1,-5.2,3.9,8.5,56
430608,2015-02-18,0,-4.3,1.8,-9.7,0.9,8.4,62
430608,2015-02-19,0,-0.7,4.9,-7.2,2.1,0.7,72
430608,2015-02-20,0,2.5,8.1,-0.2,1.5,1,71
430608,2015-02-21,0,5.4,11.4,-0.8,1.8,6.9,71
430608,2015-02-22,0,3.8,11.7,-1.7,1.7,5.8,82
430608,2015-02-23,3.3,6.6,10.9,3.6,2.3,1,89
430608,2015-02-24,0.7,7.6,8.9,6.6,1.8,0,98
430608,2015-02-25,2.2,7.6,8.5,6.6,3.4,0,97
430608,2015-02-26,4.7,8.4,13.1,6.3,3.2,3.1,86
430608,2015-02-27,0,5,12.4,-0.7,1.6,4.3,91
430608,2015-02-28,0,8.7,14.2,4.4,2.2,2.5,86
430608,2015-03-01,0,5.4,9.8,2.5,1.4,0.1,97
430608,2015-03-02,1.8,7.8,14.4,1.3,2,5.1,88
430608,2015-03-03,5.3,8,14.6,4,1.7,1.6,85
430608,2015-03-04,0,4,12,-3.2,1.8,9.4,65
430608,2015-03-05,0,4.4,7.7,-0.2,5.2,1.4,73
430608,2015-03-06,26.7,2.6,5.7,0.6,4.6,0,93
430608,2015-03-07,0.1,3.8,6.2,2.7,5.2,4.2,64
430608,2015-03-08,0,4.1,8.2,1,3.5,7.3,62
430608,2015-03-09,0,2.8,10.6,-3.8,1.9,9.6,76
430608,2015-03-10,0,4.3,9.4,-1.1,1.6,5,64
430608,2015-03-11,0,3.8,10.4,-3,2.3,6.2,79
430608,2015-03-12,0,4.2,12.4,-2.2,1.1,8.3,80
430608,2015-03-13,0,5.8,12.9,0.8,1.5,7.3,82
430608,2015-03-14,2,5,11.8,-1.4,1.1,2.9,88
430608,2015-03-15,3.5,8.2,11.2,6.7,3.2,1,83
430608,2015-03-16,0,8.7,13.8,5,3.2,6.6,59
430608,2015-03-17,0,5.4,10.8,-1.7,3.3,9.6,52
430608,2015-03-18,0,2.5,7.4,-4.2,1.5,4.6,66
430608,2015-03-19,0,2.8,7.7,-0.8,1.6,2.6,80
430608,2015-03-20,1.1,1.3,7.3,-3.9,1.3,2.7,91
430608,2015-03-21,0,7.1,14.3,2.5,1.9,9.4,56
430608,2015-03-22,0,6.6,17.8,-3.3,1.3,9.2,60
430608,2015-03-23,0,5.1,10.7,3.7,4.3,1.7,67
430608,2015-03-24,0,3.5,13,-4.3,0.7,9.8,80
430608,2015-03-25,0,8.1,17.7,-0.1,2.2,7.6,70
430608,2015-03-26,0,10.9,20,3.7,1.6,9.8,65
430608,2015-03-27,12.6,9.2,14.3,7.9,3.6,0,91
430608,2015-03-28,17.8,8.6,9.8,7.7,3.2,0,97
430608,2015-03-29,12.9,9.7,11.9,8.5,1.8,0.1,93
430608,2015-03-30,0.1,10.4,15.2,5.6,2.8,7.4,71
430608,2015-03-31,1.6,11.4,16.8,8.7,2.7,8.1,65
430608,2015-04-01,0.6,10.1,15.4,5.9,2.9,5.1,63
430608,2015-04-02,0,8.6,13.5,3.6,3.7,9.8,44
430608,2015-04-03,0,7.6,12.2,4.5,4.5,7.3,39
430608,2015-04-04,0,6.5,13.2,-1.9,3.1,9,45
430608,2015-04-05,0,7.3,15.5,-1.6,1.9,6.1,52
430608,2015-04-06,23.4,4.3,12.7,2.5,4.5,0,91
430608,2015-04-07,3.6,7.1,11.1,2.4,2.4,3.3,62
430608,2015-04-08,0,6.7,13,-1.5,1.7,3.7,60
430608,2015-04-09,0,7.6,16,-1.5,2,5.1,49
430608,2015-04-10,0,11,17.7,2.2,1.9,10.9,36
430608,2015-04-11,0,12.4,22.3,0.9,1.7,11,45
430608,2015-04-12,0,12.4,24.4,1.9,1.7,10.7,58
430608,2015-04-13,0,15.4,23.3,5.3,1.5,10.6,59
430608,2015-04-14,0,10.9,17.4,7,2.3,5,63
430608,2015-04-15,0,12.1,19.1,2.2,2.5,9,55
430608,2015-04-16,0,16.2,24.5,9.3,2.6,7.9,53
430608,2015-04-17,0,17.9,26.6,8.3,3.1,9.8,50
430608,2015-04-18,4,15.1,21.4,8.7,4.3,2.9,64
430608,2015-04-19,17.2,7.9,13.4,3.7,2,6.6,75
430608,2015-04-20,0,10.2,16.7,-0.5,2.6,7.6,54
430608,2015-04-21,0,8.9,14,1,2.4,4.7,61
430608,2015-04-22,2.8,6.5,12.4,2.9,1.8,7.2,75
430608,2015-04-23,0,10.3,17,2,2.1,11.6,60
430608,2015-04-24,0,12.3,22.2,1,1.1,11.4,63
430608,2015-04-25,0,15.1,24.2,4.2,1,10.8,59
430608,2015-04-26,0,14.6,25.2,4.4,1.3,10.7,69
430608,2015-04-27,0,17.4,28.1,6.9,1.2,10.3,64
430608,2015-04-28,0.2,14.8,19.8,11.1,1.8,1.4,82
430608,2015-04-29,5.2,13.1,17.1,8.5,2.1,0.4,91
430608,2015-04-30,1.2,12.6,16.1,9.7,1.3,0.8,84
430608,2015-05-01,0,15.5,22,9.3,1.9,9.7,74
430608,2015-05-02,1.4,15.2,18.3,11,1.9,0,81
430608,2015-05-03,6.4,15.1,22.1,11.6,2.3,5.4,86
430608,2015-05-04,0,16.2,24.8,9.7,1.3,6.2,83
430608,2015-05-05,0,19.8,27.7,11.2,0.9,8.9,78
430608,2015-05-06,0,19.3,27.1,14.3,1.7,9.5,74
430608,2015-05-07,11.4,17.5,26.2,11.5,3.2,5.4,83
430608,2015-05-08,0,18.3,24.5,10.6,1.4,8.9,62
430608,2015-05-09,0,17.3,22.9,13.8,2.4,7.8,66
430608,2015-05-10,2.4,14.2,20.3,9.4,1.3,3.4,79
430608,2015-05-11,0,17.3,22.9,8.7,1.6,8.2,62
430608,2015-05-12,0,16.8,23.9,6.9,1.1,9.2,66
430608,2015-05-13,0,17.8,24.4,8.8,2.3,8.4,67
430608,2015-05-14,0,18.2,25.9,8.1,1.3,5.9,68
430608,2015-05-15,0,18,24,9.2,1.5,6.1,73
430608,2015-05-16,0,16.6,21.4,12.7,1.5,2.7,76
430608,2015-05-17,0,18.4,26.3,10,1.4,7,78
430608,2015-05-18,0,18.2,25.1,10.4,2,9.9,74
430608,2015-05-19,0,21.2,28.8,14,2.1,11.6,68
430608,2015-05-20,0,18.4,24.4,10.5,2,5.8,68
430608,2015-05-21,0,18.7,27.7,9.5,1.3,12,69
430608,2015-05-22,0,20.7,27.4,9.7,2.2,12.1,56
430608,2015-05-23,0,20.8,28,10.2,2.7,11.8,60
430608,2015-05-24,0,21.6,27.2,14.4,2.6,11.1,64
430608,2015-05-25,0.4,20.2,26.4,15.3,2.8,7.8,71
430608,2015-05-26,0.8,18.6,25,14.3,2.7,8,73
430608,2015-05-27,0,18.5,25.3,12.6,2.7,8.7,67
430608,2015-05-28,0.2,14.9,19.5,12.9,2,0.7,74
430608,2015-05-29,0.8,15.3,21.4,11.3,1.7,5.9,74
430608,2015-05-30,0,17,25.4,6,0.8,11.9,60
430608,2015-05-31,0,17.9,26.8,7.6,1.2,9.7,69
430608,2015-06-01,0,20,27.9,9,1.4,11.3,62
430608,2015-06-02,0,20.8,29.2,9.4,1,12.4,61
430608,2015-06-03,0,21.5,31.5,10.8,1.1,8.7,68
430608,2015-06-04,4.4,21.1,29.7,12.4,0.9,5.6,75
430608,2015-06-05,0.4,21,26.5,16.6,1.8,4.3,64
430608,2015-06-06,0,21.9,26.7,15.2,2.5,12.2,44
430608,2015-06-07,0,20.4,28,10.5,2,12.6,58
430608,2015-06-08,0,20.5,27.5,9.4,2.4,12.5,52
430608,2015-06-09,0,21,28.5,10.6,2,10.9,60
430608,2015-06-10,4.2,21.8,30.1,15.8,2.8,9.5,66
430608,2015-06-11,0.2,22.9,30,13.2,2.1,12,61
430608,2015-06-12,0.4,22.9,31.3,15.9,1.3,8.4,67
430608,2015-06-13,0,22.9,32.2,13.3,0.5,11,71
430608,2015-06-14,0,25.3,34.1,14.9,1.6,9.4,61
430608,2015-06-15,6,23.3,31.9,15.5,1.1,8.9,74
430608,2015-06-16,3,21.3,25,17.9,1.7,1.4,82
430608,2015-06-17,1.6,18.8,23.5,15.6,2.1,2.2,80
430608,2015-06-18,0,20.3,25.4,13.4,1.8,9.2,60
430608,2015-06-19,0,21.6,26.7,15.3,2,7.8,51
430608,2015-06-20,1,19.4,27.2,14.3,1.2,5,78
430608,2015-06-21,20.4,14.4,17.5,13.3,1.4,0,94
430608,2015-06-22,0.8,17.8,24.3,11.6,1.6,11.4,73
430608,2015-06-23,0,19,27.7,10.4,0.9,11.3,68
430608,2015-06-24,0,21.2,30.3,10.1,0.8,12.6,66
430608,2015-06-25,0,17.7,24,14.2,2.1,4.4,81
430608,2015-06-26,0.6,16.1,20.3,12.4,1.3,0,87
430608,2015-06-27,5,19.3,26.3,15.2,1.9,5.6,83
430608,2015-06-28,0,20.2,26.3,12.9,1.1,4.2,74
430608,2015-06-29,0,21,26.2,15.8,1.1,4.3,67
430608,2015-06-30,0,20.8,28.5,13.3,0.8,4.8,68
430608,2015-07-01,1.6,22.8,28.4,15.4,1.3,7.7,68
430608,2015-07-02,2.2,19.1,28.2,13.5,1.3,4.2,86
430608,2015-07-03,0.2,20.1,26.7,12.4,1.1,5.1,72
430608,2015-07-04,16.8,18.9,24,16.5,1.2,2.3,91
430608,2015-07-05,0,22.1,29.2,15.2,0.6,6.4,72
430608,2015-07-06,0,24.6,33.2,14.4,0.9,11.8,70
430608,2015-07-07,0,26.2,35.4,16.1,0.9,11.9,66
430608,2015-07-08,0,28.1,35.9,17.4,1.4,11.3,61
430608,2015-07-09,0,26.1,35.6,15.3,1,12,56
430608,2015-07-10,9.6,20.1,26.3,16.4,1.5,1.7,89
430608,2015-07-11,0,20.4,26.5,13,1.6,11.8,65
430608,2015-07-12,0,20.9,27.8,12.2,0.9,12.3,58
430608,2015-07-13,0,22.6,31.5,12.3,2.1,9.1,62
430608,2015-07-14,4,20.5,26.1,17,1.2,6.1,84
430608,2015-07-15,0,21.9,30.9,13.4,1.4,11.6,75
430608,2015-07-16,0,25.1,31.1,17.6,2.1,11.2,55
430608,2015-07-17,0,24.7,32.7,16,1.2,11.6,65
430608,2015-07-18,0,26.1,35.3,15.6,1,11.4,60
430608,2015-07-19,0,27.4,34.9,18.8,1.2,8.9,61
430608,2015-07-20,0,27.2,35.8,17.6,1.3,10.7,56
430608,2015-07-21,0,27.2,32.5,22.9,2,10.5,56
430608,2015-07-22,0,26.8,34.9,17.3,1.3,10.3,60
430608,2015-07-23,0,27.6,34.4,15.6,1.8,11.5,46
430608,2015-07-24,0,26,33.4,14.7,1.5,11.5,53
430608,2015-07-25,0,24.7,34,13.9,1.6,11.1,61
430608,2015-07-26,0,27.6,37.1,17.8,0.8,7.8,52
430608,2015-07-27,0,24.7,32.8,16.7,1.3,7.6,68
430608,2015-07-28,0,26.5,34.9,18,1.7,10.9,59
430608,2015-07-29,0,26.6,35.9,15.3,1.3,8.2,53
430608,2015-07-30,0,27.8,38.5,20.9,0.8,10,60
430608,2015-07-31,0,24.9,33.1,21.5,2.1,4.1,73
430608,2015-08-01,29.8,21,27.4,16.6,2.6,4.7,78
430608,2015-08-02,0,21.6,30,13.4,1.2,11.7,69
430608,2015-08-03,0,22.8,31.5,15,1.7,11.6,68
430608,2015-08-04,0,25.2,33.9,14.9,1.6,11.1,58
430608,2015-08-05,0,28.3,35.5,18.7,2.1,6.8,48
430608,2015-08-06,1.8,27.5,35.2,19.7,1.9,10.2,57
430608,2015-08-07,0,26.7,34.1,19.4,2.3,10.5,47
430608,2015-08-08,0,25,32.3,14.7,1.9,11.2,52
430608,2015-08-09,0,24.3,33.2,14.6,1.8,11.3,47
430608,2015-08-10,0,24.7,34.1,13.5,1.5,9.4,50
430608,2015-08-11,0,27.8,36.1,17.4,2.2,10,44
430608,2015-08-12,0,26,33.8,15.6,1.5,7.5,54
430608,2015-08-13,0,26.5,34.9,16.6,1.3,9.2,51
430608,2015-08-14,0,24.9,33.6,17.9,1.4,6.5,62
430608,2015-08-15,0,24.5,34.7,15.7,1.2,10.3,64
430608,2015-08-16,0,26,36.6,17.2,1.3,10.5,61
430608,2015-08-17,0.6,23.9,30.8,20.8,2.6,3.4,69
430608,2015-08-18,0,23.1,29.6,16,1.6,5.7,74
430608,2015-08-19,0.2,17.6,24.1,16.8,3,0,83
430608,2015-08-20,18,15.6,17.1,14.2,3.1,0,90
430608,2015-08-21,12,15.5,18.5,13.8,2.5,0,87
430608,2015-08-22,13.8,15.4,18,13.4,1.8,0,92
430608,2015-08-23,0,18.4,26.2,14.9,1.7,6.3,79
430608,2015-08-24,0,19.1,29.3,11.6,0.8,10.4,77
430608,2015-08-25,0,20.3,30,12.1,1.4,10.3,71
430608,2015-08-26,0,20.6,30.9,12.5,0.8,9,69
430608,2015-08-27,0,20.7,31.2,12.5,1,10,72
430608,2015-08-28,0,21.5,32.6,12.3,1.1,9.8,73
430608,2015-08-29,0,23,34.9,14.3,0.9,9.8,73
430608,2015-08-30,0,25.5,34.3,18.2,1.8,9.7,66
430608,2015-08-31,0,24.9,35.4,17,0.8,9.9,73
430608,2015-09-01,0,23.7,35.4,16.2,1.1,10.1,71
430608,2015-09-02,0,22.3,36,12.9,1.3,10.1,73
430608,2015-09-03,0,23.6,34.4,15.7,1.4,8.7,75
430608,2015-09-04,0,24.9,33.6,16.6,1.2,8.8,73
430608,2015-09-05,0,24.6,35.6,18.2,1.7,8.4,70
430608,2015-09-06,0,23.8,30,18.2,2.7,6.8,59
430608,2015-09-07,0,17.1,25.8,8.5,1.2,9.7,63
430608,2015-09-08,0,17.4,24.8,8.6,1.2,9.2,57
430608,2015-09-09,0,16.1,25.5,7.4,1.1,9.8,63
430608,2015-09-10,0.2,17.8,21.1,14.6,3,0,68
430608,2015-09-11,36,14.5,17,12.5,3.9,0,86
430608,2015-09-12,3.2,15.7,18.6,13.9,0.9,0.1,88
430608,2015-09-13,0,17.8,24.9,13.4,0.6,5.5,84
430608,2015-09-14,0,16.7,25.2,9.9,1.3,8.5,87
430608,2015-09-15,0,17,25.6,10.7,1.2,8.8,81
430608,2015-09-16,0,17.8,25.7,13.6,1.4,9.1,84
430608,2015-09-17,0,18.7,30,11.5,1,9.2,83
430608,2015-09-18,0,21.4,32.3,13.6,0.7,9.1,85
430608,2015-09-19,0,21.1,29.8,15.8,1.3,9.2,79
430608,2015-09-20,0,19.1,27.3,14.7,1.3,8.3,85
430608,2015-09-21,0,19.5,26.5,11.4,1.8,7.3,69
430608,2015-09-22,0,17.5,25.5,9.8,1,8.6,73
430608,2015-09-23,0,17.3,24.5,12.8,0.9,1,83
430608,2015-09-24,6.2,19,22.4,15.7,1.4,0.5,93
430608,2015-09-25,0,18.9,27.6,14.5,0.7,6.6,90
430608,2015-09-26,0,19.3,23.1,14.4,1.5,1.3,90
430608,2015-09-27,1,19.1,22.6,16.2,1.8,0,86
430608,2015-09-28,29.8,13.2,18.8,11.2,2.1,0,90
430608,2015-09-29,27,12.1,14.5,10,1.3,0,90
430608,2015-09-30,0,12.4,17.5,7.9,1,1.3,81
430608,2015-10-01,0,13.1,16.8,10.4,0.9,0.1,79
430608,2015-10-02,0,12.7,18.9,9,1.1,3.9,81
430608,2015-10-03,0,12.4,21.8,5.7,1.3,9.2,87
430608,2015-10-04,0,13.3,21.9,5.7,0.7,4.6,90
430608,2015-10-05,0,14.8,24.4,7.9,1.3,6.7,89
430608,2015-10-06,0,15.5,23,9,1,5.9,87
430608,2015-10-07,0,14.2,20.4,9.1,2.2,2.3,86
430608,2015-10-08,0,10.6,14.4,7.6,3,2.5,57
430608,2015-10-09,1.8,10.9,14.6,8,0.7,0.7,89
430608,2015-10-10,0,11.4,13.6,10.3,2.6,0.1,83
430608,2015-10-11,23.4,8.1,10.3,7.3,4.7,0,95
430608,2015-10-12,20.8,7.3,8.1,6.5,3.3,0,96
430608,2015-10-13,2.2,8,10.2,6.9,1.2,0,91
430608,2015-10-14,0,9.3,14.1,5.5,1.6,4.1,83
430608,2015-10-15,0,10.9,15.2,9.5,2.9,0.8,84
430608,2015-10-16,0.6,11.1,13.9,8.5,2,0,90
430608,2015-10-17,1.2,13.1,16.7,10.8,2.3,1.3,88
430608,2015-10-18,0,11.3,20.4,4.8,1.3,8.1,90
430608,2015-10-19,0,13.1,20.9,6.6,1.4,7.1,88
430608,2015-10-20,1.4,13.9,16.8,11.8,1,0,96
430608,2015-10-21,9.6,10.1,15.5,7.1,1.7,5.3,90
430608,2015-10-22,7,7.9,12.6,3.3,1.6,0.7,94
430608,2015-10-23,2,10.5,15.7,6.9,1.4,5,88
430608,2015-10-24,0,8.6,16.7,2.3,1.5,7,84
430608,2015-10-25,0,9.6,16.9,3.5,1.6,7.1,85
430608,2015-10-26,0,7.4,16.6,2.5,1,6.4,87
430608,2015-10-27,0,7.9,12.8,2.7,1.4,3.2,82
430608,2015-10-28,0,3.7,14.6,-2.1,0.9,8.2,87
430608,2015-10-29,0,5.5,14.3,-2,1.6,7.9,83
430608,2015-10-30,0,8.5,14.8,3.7,2,7.5,83
430608,2015-10-31,0,6,11.4,2.1,2.7,8,60
430608,2015-11-01,0,2.4,12.7,-4.1,1,8,78
430608,2015-11-02,0,5.1,14.5,-3,2.8,7.8,74
430608,2015-11-03,0,5.7,17.9,-0.9,1.3,8,82
430608,2015-11-04,0,4.7,18.6,-2.7,0.8,8,83
430608,2015-11-05,0,4.6,17.3,-1.8,0.7,7.5,85
430608,2015-11-06,0,4.2,14.3,-1.9,0.9,6.9,87
430608,2015-11-07,0.2,5.5,6.6,3.5,1.4,0,100
430608,2015-11-08,0,6.5,11.9,3.8,2,1.5,95
430608,2015-11-09,0,9.4,18.6,1.2,1.7,5.8,84
430608,2015-11-10,0,12,17,6.9,1.7,1.1,84
430608,2015-11-11,0.4,12.1,19.9,8.4,1.8,0.5,88
430608,2015-11-12,0,11.1,20.6,3.5,1.4,7.3,85
430608,2015-11-13,0,7.9,17.6,2.2,0.9,7.2,89
430608,2015-11-14,0,7.6,18.3,0.2,1.5,6.5,90
430608,2015-11-15,0,8.2,14.2,2.2,2.2,4.5,65
430608,2015-11-16,0,9.3,18.7,2.8,1.9,2.6,65
430608,2015-11-17,0,7.7,13.5,4.8,1.8,5.2,67
430608,2015-11-18,0,8.9,16,3.9,2,4.1,76
430608,2015-11-19,0,8.9,18.9,1.1,1.7,6.8,78
430608,2015-11-20,0,7.1,16.1,-0.7,2.2,1.7,81
430608,2015-11-21,0,10.4,16.4,3.3,1.8,1.6,72
430608,2015-11-22,0.2,15.7,18.1,9,3.4,0,67
430608,2015-11-23,7.2,10.4,14.3,8.3,2.3,4.2,88
430608,2015-11-24,16.2,6.3,8.4,5.1,2.8,0,95
430608,2015-11-25,11.6,2.9,5.2,2.2,3,0,99
430608,2015-11-26,33.2,3.2,3.8,2.1,5.3,0,98
430608,2015-11-27,2.6,3.1,3.8,2.4,4.6,0,96
430608,2015-11-28,36.8,4.4,6.2,2.4,3.9,0,97
430608,2015-11-29,0,3.2,6,1.5,2.4,0,91
430608,2015-11-30,0,4.3,10.2,-2.6,2.4,3.9,83
430608,2015-12-01,0,8.6,13.4,5.2,4.4,5,70
430608,2015-12-02,0,3.7,10.6,-0.4,0.9,0.5,69
430608,2015-12-03,0,3.7,11.1,-3.4,1.1,4.7,82
430608,2015-12-04,0,4.9,10.2,2.8,1.4,3.6,90
430608,2015-12-05,0,2.8,10.5,-3.1,1.9,5.8,92
430608,2015-12-06,0,3.2,4.5,1.8,2.8,0,100
430608,2015-12-07,0,2.5,4,1.1,2.2,0,100
430608,2015-12-08,0,2.4,9.4,-2.9,1.1,2.8,92
430608,2015-12-09,0,3.6,5,0.7,1.3,0,96
430608,2015-12-10,0,3,5.1,-0.8,1.3,0.4,91
430608,2015-12-11,0,3.7,4.7,2.9,0.7,0,89
430608,2015-12-12,0,2.4,6,-0.7,2.1,4.7,91
430608,2015-12-13,0,0,9.4,-4.5,0.7,5.4,90
430608,2015-12-14,0,2.4,7.4,-2.1,1.8,1,89
430608,2015-12-15,0,-0.8,6.5,-5.3,0.9,3.3,90
430608,2015-12-16,0.5,0.4,1.8,-2.6,2,0,99
430608,2015-12-17,0,1.9,5.9,-0.5,1.9,5.7,83
430608,2015-12-18,0,1.8,3.8,0.2,3.3,0.5,85
430608,2015-12-19,0,2.6,9.6,-0.6,1,1.7,87
430608,2015-12-20,0,4.1,10.8,-2,2.1,5.8,88
430608,2015-12-21,0,5.3,12.9,0.2,3.1,6.2,87
430608,2015-12-22,0,3.9,12.7,-1,1.2,6.2,89
430608,2015-12-23,0,4.8,14.2,-1.3,1.6,6.2,88
430608,2015-12-24,0,6.8,14.3,0,2.2,6.1,85
430608,2015-12-25,0,3.8,12,-1.6,1.3,3.6,93
430608,2015-12-26,0,3.3,11.4,-2.8,1.9,6.5,89
430608,2015-12-27,0,5.3,14,1.3,2,6.2,88
430608,2015-12-28,0,3.1,12,-1,1.5,4.9,91
430608,2015-12-29,1.1,2.3,7,-0.6,4.3,0,87
430608,2015-12-30,0.1,-2.2,1.1,-3.4,3.3,5.1,49
430608,2015-12-31,0,-4.7,0.2,-8,1.5,4.5,60
